Year,Month,Season,Vehicle_Type,Region,City,Latitude,Longitude,Sales,Price,Advertising_Expenditure,Unemployment_Rate,GDP,Recession,Revenue
2017,11,Fall,SUV,North,Chicago,41.8781,-87.6298,132.58,36.99,56.23,4.34,68.24,0,4904.44
2019,4,Spring,SUV,West,Los Angeles,34.0522,-118.2437,158.83,41.12,59.26,5.75,76.07,0,6530.56
2023,1,Winter,Van,South,Houston,29.7604,-95.3698,101.99,36.14,52.07,5.81,80.76,0,3685.63
2020,8,Summer,Coupe,East,Washington,38.9072,-77.0369,59.05,25.39,23.52,8.49,64.9,1,1499.14
2023,4,Spring,Sedan,West,Phoenix,33.4484,-112.074,160.44,24.51,52.47,4.46,84.15,0,3932.65
2023,11,Fall,Sedan,South,Atlanta,33.749,-84.388,133.58,24.7,60.44,4.52,80.26,0,3299.81
2017,3,Spring,Truck,South,Atlanta,33.749,-84.388,135.46,39.47,45.86,3.88,69.29,0,5346.67
2021,4,Spring,Hybrid,North,Chicago,41.8781,-87.6298,83.2,30.97,22.61,9.22,82.74,1,2576.59
2017,10,Fall,Sedan,East,Washington,38.9072,-77.0369,126.58,28.23,31.46,4.14,72.48,0,3572.9
2020,3,Spring,Hybrid,Central,Minneapolis,44.9778,-93.265,77.96,30.94,55.9,8.84,81.57,1,2412.43
2019,7,Summer,Truck,South,Houston,29.7604,-95.3698,201.37,41.09,42.48,3.99,76.66,0,8273.75
2019,5,Spring,Hatchback,East,Washington,38.9072,-77.0369,108.36,17.25,68.18,4.92,72.58,0,1869.43
2017,4,Spring,Truck,Central,Kansas City,39.0997,-94.5786,157.15,50.07,48.61,3.68,74.69,0,7868.94
2015,11,Fall,Electric,Central,Minneapolis,44.9778,-93.265,161.91,47.69,36.51,3.49,71.31,0,7721.57
2019,6,Summer,Coupe,West,San Francisco,37.7749,-122.4194,136.28,27.49,70.5,3.67,75.3,0,3746.55
2020,4,Spring,SUV,Central,Denver,39.7392,-104.9903,64.83,38.52,34.03,7.85,68.51,1,2496.89
2020,4,Spring,Hatchback,South,Dallas,32.7767,-96.797,57.08,18.32,45.59,9.36,67.19,1,1045.66
2019,2,Winter,Truck,East,Baltimore,39.2904,-76.6122,134.15,32.29,88.57,4.7,78.62,0,4331.08
2018,5,Spring,SUV,South,Houston,29.7604,-95.3698,174.44,32.15,76.94,5.34,72.13,0,5608.6
2015,6,Summer,SUV,West,Los Angeles,34.0522,-118.2437,161.87,26.94,71.61,5.04,71.61,0,4361.1
2016,7,Summer,SUV,North,Detroit,42.3314,-83.0458,182.39,40.72,60.4,5.3,76.86,0,7425.95
2018,3,Spring,Hybrid,North,New York,40.7128,-74.006,148.66,30.63,43.28,4.45,75.64,0,4552.84
2015,2,Winter,Coupe,Central,Denver,39.7392,-104.9903,85.13,22.62,77.45,5.41,66.54,0,1925.83
2017,12,Winter,Sedan,North,Detroit,42.3314,-83.0458,104.4,29.28,46.93,4.98,71.67,0,3056.83
2020,11,Fall,Sedan,West,Phoenix,33.4484,-112.074,54.13,24.45,37.3,8.24,68.89,1,1323.23
2019,1,Winter,Hatchback,North,Boston,42.3601,-71.0589,104.1,19.71,79.02,3.69,72.68,0,2051.36
2015,4,Spring,SUV,South,Dallas,32.7767,-96.797,173.23,39.92,10.0,3.43,73.29,0,6914.65
2020,9,Fall,Sedan,West,Los Angeles,34.0522,-118.2437,54.14,18.82,26.43,7.99,70.52,1,1019.13
2017,9,Fall,Sedan,Central,Kansas City,39.0997,-94.5786,131.9,25.56,38.39,6.09,72.75,0,3371.38
2019,1,Winter,Coupe,North,Boston,42.3601,-71.0589,89.3,30.8,68.67,6.95,77.31,0,2750.84
2018,3,Spring,Electric,North,Boston,42.3601,-71.0589,200.47,42.09,14.12,3.2,75.47,0,8437.61
2018,6,Summer,Sedan,North,Boston,42.3601,-71.0589,139.49,23.06,46.01,4.47,73.61,0,3216.43
2022,11,Fall,SUV,East,Baltimore,39.2904,-76.6122,195.87,37.03,48.73,3.09,77.95,0,7252.66
2017,6,Summer,SUV,East,Baltimore,39.2904,-76.6122,183.86,30.27,61.64,4.18,74.78,0,5565.97
2021,12,Winter,Electric,South,Dallas,32.7767,-96.797,140.86,42.73,53.14,5.21,82.23,0,6018.65
2022,6,Summer,SUV,South,Miami,25.7617,-80.1918,88.53568526190388,32.94,59.15,6.64,78.67,0,5920.96
2016,5,Spring,Hybrid,West,San Francisco,37.7749,-122.4194,118.29,23.92,54.36,5.49,71.32,0,2829.8
2020,7,Summer,Sedan,West,Los Angeles,34.0522,-118.2437,55.5,24.5,33.8,6.96,64.88,1,1359.98
2016,10,Fall,Truck,West,Phoenix,33.4484,-112.074,64.68153348163024,39.39,68.03,6.52,71.87,0,5235.39
2021,9,Fall,SUV,East,Charlotte,35.2271,-80.8431,143.91,33.69,49.92,5.33,78.99,0,4848.14
2020,2,Winter,SUV,Central,Kansas City,39.0997,-94.5786,131.57,26.98,27.22,5.44,78.04,0,3550.14
2022,2,Winter,SUV,West,San Francisco,37.7749,-122.4194,119.95,31.09,39.22,6.65,78.46,0,3728.78
2022,6,Summer,Electric,West,Phoenix,33.4484,-112.074,185.55,36.63,47.05,5.73,78.61,0,6796.09
2022,12,Winter,Sedan,North,Detroit,42.3314,-83.0458,110.16,20.9,30.88,5.65,81.99,0,2302.21
2020,11,Fall,Van,East,Baltimore,39.2904,-76.6122,61.3,29.49,13.95,7.62,68.3,1,1807.79
2023,8,Summer,Truck,Central,Minneapolis,44.9778,-93.265,176.84,45.16,64.33,5.17,76.59,0,7986.87
2022,11,Fall,SUV,Central,Minneapolis,44.9778,-93.265,35.136108048037386,46.96,79.13,5.15,79.15,0,6178.94
2021,1,Winter,Sedan,Central,Minneapolis,44.9778,-93.265,38.01,28.47,45.5,9.91,61.51,1,1082.29
2015,8,Summer,Coupe,Central,Denver,39.7392,-104.9903,132.94,39.1,51.45,3.0,75.16,0,5198.46
2019,5,Spring,SUV,East,Baltimore,39.2904,-76.6122,198.76,32.53,36.6,5.19,71.13,0,6465.75
2023,11,Fall,SUV,Central,Minneapolis,44.9778,-93.265,183.66,27.31,29.31,4.42,83.14,0,5015.94
2021,10,Fall,SUV,Central,Minneapolis,44.9778,-93.265,164.95,35.77,62.3,5.51,80.76,0,5899.55
2020,10,Fall,Electric,East,Baltimore,39.2904,-76.6122,79.33,41.4,66.2,7.55,63.0,1,3284.43
2019,7,Summer,Sedan,South,Miami,25.7617,-80.1918,147.46,27.82,66.13,7.96,77.08,0,4102.6
2020,4,Spring,SUV,East,Baltimore,39.2904,-76.6122,66.57,30.99,39.97,10.31,70.2,1,2062.88
2016,2,Winter,Hybrid,West,San Francisco,37.7749,-122.4194,132.95,22.16,50.65,4.25,74.62,0,2946.65
2019,10,Fall,Coupe,Central,Denver,39.7392,-104.9903,91.2,31.04,38.58,5.92,73.03,0,2830.54
2015,5,Spring,Hatchback,East,Charlotte,35.2271,-80.8431,103.76,23.3,75.93,5.01,69.95,0,2417.64
2023,11,Fall,Coupe,North,Boston,42.3601,-71.0589,112.93,30.97,46.51,4.19,78.41,0,3497.5
2022,4,Spring,SUV,South,Houston,29.7604,-95.3698,140.26,38.13,45.21,5.2,74.43,0,5348.52
2018,6,Summer,Electric,Central,Kansas City,39.0997,-94.5786,184.51,47.26,35.18,4.73,71.6,0,8719.97
2019,1,Winter,SUV,North,Boston,42.3601,-71.0589,142.12,26.44,61.87,5.5,74.79,0,3756.96
2018,9,Fall,Sedan,East,Washington,38.9072,-77.0369,132.68,26.2,51.61,5.42,77.05,0,3475.98
2018,9,Fall,Coupe,Central,Minneapolis,44.9778,-93.265,103.5,34.9,41.7,5.21,72.4,0,3612.13
2018,7,Summer,Sedan,West,Los Angeles,34.0522,-118.2437,161.08,28.84,59.84,4.93,73.07,0,4646.22
2022,6,Summer,Hybrid,West,Los Angeles,34.0522,-118.2437,165.65,26.06,74.33,5.0,79.38,0,4317.71
2023,2,Winter,Hatchback,East,Philadelphia,39.9526,-75.1652,115.53,22.03,53.44,3.14,80.48,0,2544.67
2016,2,Winter,Sedan,North,New York,40.7128,-74.006,416.0027981565179,24.4,44.71,5.55,75.26,0,2826.75
2018,4,Spring,Electric,South,Atlanta,33.749,-84.388,142.25,36.46,41.16,6.06,70.94,0,5186.11
2020,4,Spring,Sedan,North,Chicago,41.8781,-87.6298,74.49,30.09,58.12,7.28,65.73,1,2241.7
2020,2,Winter,Coupe,Central,St. Louis,38.627,-90.1994,82.81,24.32,49.2,5.76,73.34,0,2014.43
2017,9,Fall,Sedan,North,Boston,42.3601,-71.0589,118.88,24.95,60.83,3.94,72.36,0,2965.7
2019,2,Winter,Truck,West,Phoenix,33.4484,-112.074,121.43,35.59,60.33,5.16,73.34,0,4321.88
2019,10,Fall,SUV,North,Boston,42.3601,-71.0589,136.33,34.33,60.81,5.23,75.29,0,4680.48
2022,10,Fall,SUV,Central,Minneapolis,44.9778,-93.265,160.04,39.58,41.94,5.36,77.48,0,6334.77
2017,3,Spring,Sedan,South,Houston,29.7604,-95.3698,116.81,25.37,38.75,4.85,71.31,0,2963.64
2022,12,Winter,Coupe,South,Dallas,32.7767,-96.797,99.06,33.4,27.76,4.86,80.72,0,3308.82
2017,10,Fall,Sedan,North,Boston,42.3601,-71.0589,141.57,20.59,62.47,4.43,78.46,0,2914.52
2016,2,Winter,Truck,Central,Kansas City,39.0997,-94.5786,143.43,34.09,50.0,4.38,71.98,0,4890.1
2020,6,Summer,Sedan,East,Philadelphia,39.9526,-75.1652,65.06,28.62,25.91,7.3,69.31,1,1861.91
2016,10,Fall,Coupe,South,Atlanta,33.749,-84.388,82.28,33.76,44.15,4.77,71.71,0,2778.19
2022,2,Winter,Electric,North,Chicago,41.8781,-87.6298,168.73,54.73,45.36,5.06,78.96,0,9234.97
2021,12,Winter,SUV,North,Boston,42.3601,-71.0589,149.61,20.1,55.34,5.77,76.34,0,3007.68
2022,5,Spring,Sedan,South,Dallas,32.7767,-96.797,158.46,31.89,50.9,4.35,84.92,0,5053.14
2021,1,Winter,Truck,South,Dallas,32.7767,-96.797,65.14,40.78,46.62,9.19,73.07,1,2656.69
2022,2,Winter,Truck,East,Philadelphia,39.9526,-75.1652,129.01,39.03,47.41,5.28,76.38,0,5035.61
2021,12,Winter,Truck,East,Washington,38.9072,-77.0369,125.32,39.2,53.69,4.06,78.05,0,4912.22
2023,10,Fall,SUV,Central,Minneapolis,44.9778,-93.265,165.27,33.3,56.01,5.2,78.52,0,5503.62
2022,11,Fall,Sedan,North,Chicago,41.8781,-87.6298,136.62,15.17,63.97,5.73,76.73,0,2072.11
2016,12,Winter,SUV,Central,Denver,39.7392,-104.9903,122.4,42.72,59.98,3.96,69.4,0,5229.47
2023,11,Fall,Electric,South,Atlanta,33.749,-84.388,182.29,38.59,45.59,3.75,78.19,0,7034.06
2017,10,Fall,Sedan,North,Detroit,42.3314,-83.0458,113.66,19.39,40.62,6.29,75.88,0,2203.77
2020,7,Summer,Sedan,West,Phoenix,33.4484,-112.074,58.64,29.66,32.84,10.65,73.55,1,1739.37
2021,12,Winter,Truck,South,Dallas,32.7767,-96.797,137.86,28.14,49.28,5.23,82.25,0,3878.92
2023,2,Winter,Electric,North,Chicago,41.8781,-87.6298,155.48,66.78,50.39,5.52,85.02,0,10382.13
2018,6,Summer,Sedan,West,San Francisco,37.7749,-122.4194,162.25,22.29,41.85,5.98,76.49,0,3616.24
2017,12,Winter,Electric,North,Boston,42.3601,-71.0589,141.83,45.78,29.52,5.03,70.63,0,6492.34
2020,3,Spring,Electric,West,Los Angeles,34.0522,-118.2437,80.59,49.51,66.65,9.09,63.33,1,3989.58
2018,12,Winter,Sedan,Central,Denver,39.7392,-104.9903,108.7,27.06,36.07,5.08,74.12,0,2941.0
2021,2,Winter,SUV,Central,St. Louis,38.627,-90.1994,156.78088744125574,31.51,60.03,7.1,72.61,1,2389.28
2015,2,Winter,Sedan,West,San Francisco,37.7749,-122.4194,102.1,26.44,48.15,3.22,68.76,0,2699.48
2019,1,Winter,Sedan,North,Boston,42.3601,-71.0589,120.21,16.7,17.25,5.45,74.78,0,2007.16
2022,2,Winter,Truck,North,Chicago,41.8781,-87.6298,140.04,42.28,55.97,5.14,82.54,0,5920.97
2020,3,Spring,SUV,Central,Kansas City,39.0997,-94.5786,69.12,33.61,53.96,8.83,65.5,1,2322.81
2015,7,Summer,SUV,East,Washington,38.9072,-77.0369,72.71129060848442,28.36,32.04,4.51,69.29,0,5270.13
2015,9,Fall,Hatchback,East,Charlotte,35.2271,-80.8431,106.23,20.67,25.95,4.93,68.26,0,2196.16
2019,6,Summer,Truck,Central,Kansas City,39.0997,-94.5786,184.41,34.23,35.48,4.84,79.97,0,6312.67
2022,11,Fall,SUV,Central,Kansas City,39.0997,-94.5786,148.85,26.69,58.37,6.57,80.84,0,3972.45
2016,5,Spring,Coupe,South,Atlanta,33.749,-84.388,122.15,29.82,50.76,5.15,70.36,0,3642.31
2021,3,Spring,SUV,West,Seattle,47.6062,-122.3321,79.76,42.09,51.14,7.79,65.73,1,3357.35
2021,11,Fall,Truck,South,Miami,25.7617,-80.1918,149.66,39.15,54.44,4.71,76.56,0,5859.38
2021,2,Winter,Electric,South,Miami,25.7617,-80.1918,66.79,48.5,38.1,9.82,64.11,1,3239.36
2023,5,Spring,Electric,South,Miami,25.7617,-80.1918,180.72,45.41,58.23,7.1,81.75,0,8205.55
2022,9,Fall,Truck,North,Chicago,41.8781,-87.6298,148.93,31.98,45.21,3.24,83.54,0,4763.26
2020,6,Summer,Sedan,East,Charlotte,35.2271,-80.8431,69.65,23.49,29.9,7.48,64.46,1,1636.03
2021,12,Winter,Van,West,San Francisco,37.7749,-122.4194,27.497161833988706,28.73,70.61,5.99,81.9,0,2908.49
2015,2,Winter,SUV,West,Phoenix,33.4484,-112.074,129.28,37.5,61.24,4.58,70.6,0,4847.57
2020,10,Fall,Electric,East,Charlotte,35.2271,-80.8431,59.49,39.45,48.14,8.15,61.4,1,2347.05
2022,4,Spring,Hatchback,East,Charlotte,35.2271,-80.8431,103.55,19.97,29.35,5.38,79.2,0,2067.85
2023,5,Spring,Hatchback,South,Miami,25.7617,-80.1918,115.88,18.51,37.65,5.27,78.54,0,2144.93
2021,6,Summer,Truck,West,Los Angeles,34.0522,-118.2437,87.16,47.95,56.31,7.3,66.89,1,4179.58
2022,3,Spring,Sedan,Central,Minneapolis,44.9778,-93.265,157.96,31.24,71.21,5.59,81.42,0,4934.37
2018,12,Winter,Hybrid,North,Chicago,41.8781,-87.6298,118.57,25.89,46.06,3.79,71.57,0,3070.37
2017,12,Winter,Van,Central,Minneapolis,44.9778,-93.265,105.0,30.24,52.82,4.82,72.17,0,3174.92
2022,12,Winter,SUV,Central,Minneapolis,44.9778,-93.265,154.54,35.0,31.11,6.2,87.12,0,5409.51
2015,6,Summer,Van,West,Seattle,47.6062,-122.3321,153.66,39.34,60.05,4.08,71.1,0,6044.85
2022,9,Fall,SUV,South,Houston,29.7604,-95.3698,165.45,36.04,68.18,6.04,77.27,0,5962.93
2016,6,Summer,SUV,East,Charlotte,35.2271,-80.8431,146.25,43.03,18.71,3.99,71.26,0,6292.37
2015,1,Winter,SUV,West,San Francisco,37.7749,-122.4194,151.0,27.79,58.47,4.85,70.86,0,4195.97
2019,5,Spring,Coupe,South,Houston,29.7604,-95.3698,111.1,43.57,46.63,4.33,77.88,0,4840.32
2023,1,Winter,Hatchback,North,Boston,42.3601,-71.0589,86.81,15.0,62.12,8.11,84.13,0,1302.15
2022,1,Winter,SUV,West,Los Angeles,34.0522,-118.2437,122.2,38.85,57.32,6.05,76.68,0,4747.13
2020,11,Fall,Hatchback,North,New York,40.7128,-74.006,45.95,19.58,51.15,8.64,67.54,1,899.55
2022,9,Fall,Electric,North,New York,40.7128,-74.006,141.05,41.8,46.85,3.41,81.07,0,5895.84
2022,1,Winter,Coupe,West,San Francisco,37.7749,-122.4194,112.83,22.46,53.49,4.81,82.03,0,2534.0
2023,3,Spring,Truck,East,Baltimore,39.2904,-76.6122,174.28,45.5,64.44,4.13,88.17,0,7929.68
2015,4,Spring,Coupe,East,Philadelphia,39.9526,-75.1652,97.49,30.6,66.83,4.98,63.78,0,2983.1
2015,11,Fall,Hybrid,Central,Kansas City,39.0997,-94.5786,121.72,22.89,50.29,5.71,66.64,0,2786.21
2021,1,Winter,SUV,North,Chicago,41.8781,-87.6298,74.25,32.77,50.47,8.69,72.72,1,2433.37
2018,3,Spring,Truck,South,Houston,29.7604,-95.3698,118.48,41.76,42.25,6.3,72.98,0,4947.95
2022,9,Fall,Hatchback,West,Los Angeles,34.0522,-118.2437,110.55,19.91,24.0,7.05,85.73,0,2201.03
2022,11,Fall,Sedan,West,Seattle,47.6062,-122.3321,135.78,20.85,26.66,5.76,86.39,0,2830.92
2022,7,Summer,SUV,North,Boston,42.3601,-71.0589,176.66,32.26,63.34,4.65,80.15,0,5699.61
2015,11,Fall,Van,South,Miami,25.7617,-80.1918,108.22,32.28,67.86,5.71,67.98,0,3492.89
2023,2,Winter,Coupe,West,Los Angeles,34.0522,-118.2437,123.6,34.78,61.95,5.26,86.89,0,4298.08
2019,3,Spring,Sedan,East,Baltimore,39.2904,-76.6122,154.69,27.42,21.52,3.77,75.96,0,4241.3
2021,7,Summer,Electric,North,Boston,42.3601,-71.0589,220.55,55.46,40.25,4.06,78.02,0,12231.54
2015,7,Summer,Sedan,South,Dallas,32.7767,-96.797,147.42,25.56,62.66,5.44,70.29,0,3768.2
2016,7,Summer,Hatchback,North,Chicago,41.8781,-87.6298,111.39,21.36,51.33,7.26,69.99,0,2379.37
2019,1,Winter,Hatchback,Central,St. Louis,38.627,-90.1994,96.84,19.34,58.04,4.6,74.02,0,1872.58
2021,9,Fall,Truck,East,Washington,38.9072,-77.0369,150.6,35.5,54.81,4.72,79.41,0,5345.95
2023,5,Spring,Truck,Central,St. Louis,38.627,-90.1994,163.42,33.11,62.53,5.86,84.28,0,5411.37
2015,4,Spring,Sedan,East,Washington,38.9072,-77.0369,158.66,17.52,53.52,3.25,71.32,0,2779.55
2023,2,Winter,SUV,Central,St. Louis,38.627,-90.1994,158.77,37.89,22.2,3.7,87.4,0,6015.21
2022,4,Spring,Electric,North,Boston,42.3601,-71.0589,206.57,45.11,81.83,4.81,82.5,0,9317.76
2016,6,Summer,Coupe,West,San Francisco,37.7749,-122.4194,100.96,26.39,71.58,4.77,64.14,0,2664.45
2015,3,Spring,Hatchback,West,Phoenix,33.4484,-112.074,108.98,15.43,59.94,5.91,69.64,0,1681.88
2023,9,Fall,SUV,South,Houston,29.7604,-95.3698,165.55,31.68,38.41,5.2,83.76,0,5243.81
2016,6,Summer,Truck,North,Detroit,42.3314,-83.0458,123.25,37.49,53.63,4.65,67.47,0,4620.88
2020,6,Summer,Hatchback,East,Washington,38.9072,-77.0369,59.49,19.38,74.13,8.39,64.64,1,1153.03
2016,9,Fall,SUV,South,Dallas,32.7767,-96.797,125.92,41.89,48.47,5.84,72.04,0,5275.12
2020,3,Spring,Coupe,East,Baltimore,39.2904,-76.6122,35.72,29.98,35.77,10.35,63.03,1,1070.69
2016,4,Spring,SUV,North,Detroit,42.3314,-83.0458,165.57,33.38,56.53,7.56,73.4,0,5526.98
2022,1,Winter,SUV,East,Washington,38.9072,-77.0369,151.08,31.61,43.0,6.3,83.45,0,4776.2
2018,5,Spring,Van,East,Charlotte,35.2271,-80.8431,130.65,25.62,66.05,6.29,80.32,0,3347.61
2016,6,Summer,Hatchback,North,Boston,42.3601,-71.0589,151.89,20.04,60.77,3.0,70.37,0,3043.75
2017,4,Spring,Van,South,Miami,25.7617,-80.1918,96.79,26.43,47.76,4.36,68.11,0,2557.93
2017,1,Winter,SUV,Central,Kansas City,39.0997,-94.5786,125.41,40.73,62.48,4.35,72.13,0,5107.71
2018,9,Fall,Hatchback,North,Detroit,42.3314,-83.0458,104.84,17.79,37.68,5.26,75.35,0,1864.7
2021,5,Spring,Sedan,North,Chicago,41.8781,-87.6298,67.64,23.98,52.83,7.79,75.17,1,1621.84
2015,2,Winter,SUV,West,Phoenix,33.4484,-112.074,107.32,33.63,53.35,5.54,69.42,0,3609.42
2023,2,Winter,SUV,Central,Minneapolis,44.9778,-93.265,150.14,37.15,67.96,5.58,80.34,0,5577.33
2019,9,Fall,Electric,West,Seattle,47.6062,-122.3321,160.52,49.49,22.77,4.3,71.17,0,7944.39
2021,8,Summer,Sedan,West,Los Angeles,34.0522,-118.2437,185.39,22.28,73.4,6.62,78.83,0,4131.38
2018,4,Spring,SUV,Central,Minneapolis,44.9778,-93.265,191.85,43.6,68.74,3.16,74.79,0,8364.2
2020,10,Fall,SUV,Central,Denver,39.7392,-104.9903,45.72,29.46,18.0,11.27,68.79,1,1346.93
2018,10,Fall,Van,North,New York,40.7128,-74.006,116.86,35.24,41.91,6.16,75.0,0,4118.6
2015,1,Winter,SUV,Central,St. Louis,38.627,-90.1994,103.24,33.06,36.83,5.17,69.02,0,3413.1
2015,9,Fall,SUV,South,Dallas,32.7767,-96.797,172.85,42.19,48.33,4.28,73.22,0,7292.49
2019,1,Winter,Electric,West,Phoenix,33.4484,-112.074,133.33,47.91,16.26,7.57,78.22,0,6388.35
2016,10,Fall,SUV,West,Los Angeles,34.0522,-118.2437,128.83,32.08,70.27,5.02,74.03,0,4132.33
2019,11,Fall,Hybrid,West,Phoenix,33.4484,-112.074,133.59,26.51,33.13,7.18,72.1,0,3541.32
2023,8,Summer,SUV,East,Charlotte,35.2271,-80.8431,214.04,27.25,41.48,4.67,83.35,0,5832.15
2018,7,Summer,Sedan,Central,Denver,39.7392,-104.9903,133.84,27.0,50.09,4.15,74.77,0,3614.32
2022,11,Fall,Sedan,North,Detroit,42.3314,-83.0458,135.02,29.31,63.17,4.33,82.26,0,3957.87
2023,10,Fall,Hybrid,West,Seattle,47.6062,-122.3321,185.83,36.91,71.87,3.0,81.32,0,6858.53
2015,6,Summer,Sedan,South,Dallas,32.7767,-96.797,138.15,27.46,39.71,3.23,67.69,0,3794.01
2022,3,Spring,Sedan,East,Charlotte,35.2271,-80.8431,155.35,27.58,67.76,4.94,78.66,0,4284.61
2018,3,Spring,SUV,Central,Minneapolis,44.9778,-93.265,157.04,34.68,36.06,6.15,76.84,0,5446.91
2019,4,Spring,Coupe,West,Phoenix,33.4484,-112.074,92.76,29.54,65.11,6.34,74.55,0,2740.49
2021,12,Winter,Sedan,South,Miami,25.7617,-80.1918,315.7106337668537,29.07,20.55,4.93,77.15,0,3662.87
2020,10,Fall,Truck,North,Boston,42.3601,-71.0589,56.53,43.9,38.61,9.68,65.72,1,2481.21
2018,3,Spring,Hybrid,Central,St. Louis,38.627,-90.1994,114.75,27.16,36.8,6.79,71.21,0,3116.2
2015,3,Spring,Electric,North,New York,40.7128,-74.006,134.18,35.73,31.87,6.41,72.9,0,4793.73
2020,8,Summer,SUV,North,New York,40.7128,-74.006,78.63,34.28,36.51,7.34,65.49,1,2695.46
2017,2,Winter,Electric,West,Los Angeles,34.0522,-118.2437,124.7,47.0,23.63,4.37,73.87,0,5860.19
2018,1,Winter,Sedan,East,Washington,38.9072,-77.0369,107.08,24.61,77.28,5.88,73.86,0,2635.2
2021,1,Winter,Sedan,East,Philadelphia,39.9526,-75.1652,52.66,26.89,27.46,7.14,72.13,1,1416.26
2017,9,Fall,SUV,South,Atlanta,33.749,-84.388,163.12,31.53,44.25,3.61,73.06,0,5142.67
2017,4,Spring,Hatchback,North,New York,40.7128,-74.006,46.01181101236952,22.42,74.19,4.21,71.72,0,2821.69
2018,1,Winter,Coupe,West,Seattle,47.6062,-122.3321,121.3,28.55,29.96,3.37,76.44,0,3463.12
2016,12,Winter,Coupe,Central,Minneapolis,44.9778,-93.265,97.59,27.79,56.1,4.03,75.48,0,2711.59
2018,1,Winter,Truck,North,Boston,42.3601,-71.0589,126.47,43.83,49.56,6.05,74.73,0,5543.24
2020,2,Winter,SUV,North,New York,40.7128,-74.006,140.9,35.17,60.37,6.09,79.57,0,4954.73
2017,8,Summer,Sedan,South,Houston,29.7604,-95.3698,58.267050460975575,21.26,79.64,3.88,71.57,0,3024.06
2019,10,Fall,Sedan,Central,Denver,39.7392,-104.9903,104.42,24.34,27.32,4.42,76.08,0,2542.07
2017,8,Summer,Truck,Central,St. Louis,38.627,-90.1994,183.98,37.81,45.56,5.2,72.98,0,6956.86
2019,2,Winter,Sedan,North,New York,40.7128,-74.006,133.64,19.59,45.12,5.49,78.06,0,2617.48
2021,3,Spring,Sedan,South,Miami,25.7617,-80.1918,77.92,22.68,59.89,9.06,73.49,1,1767.37
2022,12,Winter,Sedan,East,Washington,38.9072,-77.0369,136.25,20.15,52.94,5.32,80.25,0,2745.06
2021,6,Summer,Hybrid,South,Miami,25.7617,-80.1918,72.69,38.91,55.27,10.67,76.44,1,2828.18
2018,2,Winter,Coupe,North,Chicago,41.8781,-87.6298,84.75,30.06,42.67,4.78,77.47,0,2548.07
2019,6,Summer,Truck,South,Dallas,32.7767,-96.797,166.21,44.34,36.14,5.09,69.97,0,7370.31
2018,2,Winter,Coupe,South,Houston,29.7604,-95.3698,102.81,34.82,45.57,3.32,77.54,0,3580.23
2017,3,Spring,SUV,Central,Minneapolis,44.9778,-93.265,122.53,26.5,25.39,7.06,71.22,0,3246.75
2018,12,Winter,SUV,Central,Denver,39.7392,-104.9903,35.510505154223004,19.96,48.27,3.69,68.83,0,2509.06
2022,3,Spring,Hatchback,East,Philadelphia,39.9526,-75.1652,134.62,18.11,45.1,5.59,82.64,0,2437.35
2019,3,Spring,SUV,South,Miami,25.7617,-80.1918,133.85,35.3,38.93,4.42,72.64,0,4724.37
2021,8,Summer,Hybrid,South,Atlanta,33.749,-84.388,173.7,22.24,50.4,5.19,78.19,0,3863.02
2020,12,Winter,Truck,Central,Denver,39.7392,-104.9903,56.5,28.65,51.65,7.86,71.69,1,1618.93
2023,3,Spring,SUV,South,Atlanta,33.749,-84.388,201.12,40.04,62.85,3.96,82.26,0,8051.8
2015,8,Summer,SUV,West,Los Angeles,34.0522,-118.2437,182.74,28.02,66.23,4.34,74.88,0,5119.99
2020,8,Summer,Sedan,Central,Minneapolis,44.9778,-93.265,77.15,29.65,37.87,6.15,57.56,1,2287.23
2015,1,Winter,Sedan,North,New York,40.7128,-74.006,111.03,29.89,59.34,5.08,70.33,0,3318.38
2020,9,Fall,Coupe,North,Boston,42.3601,-71.0589,51.56,29.55,30.66,9.3,71.97,1,1523.8
2016,2,Winter,Coupe,North,Detroit,42.3314,-83.0458,93.62,26.01,53.17,4.47,67.15,0,2435.25
2016,4,Spring,Sedan,North,New York,40.7128,-74.006,144.41,21.29,35.96,4.68,76.01,0,3074.47
2022,8,Summer,SUV,North,New York,40.7128,-74.006,212.59,27.17,41.96,5.57,85.45,0,5776.26
2023,11,Fall,Truck,Central,Minneapolis,44.9778,-93.265,182.28,47.33,56.86,4.32,78.3,0,8628.08
2018,4,Spring,Sedan,North,Boston,42.3601,-71.0589,153.5,26.1,60.41,6.1,71.73,0,4005.94
2017,4,Spring,Sedan,Central,Kansas City,39.0997,-94.5786,46.10348260719722,27.93,64.82,5.53,70.12,0,3991.77
2022,12,Winter,Truck,North,Detroit,42.3314,-83.0458,116.22,39.59,14.93,4.88,84.08,0,4601.49
2016,10,Fall,Sedan,West,Phoenix,33.4484,-112.074,105.2,26.23,50.8,5.26,68.66,0,2759.68
2018,3,Spring,SUV,North,Chicago,41.8781,-87.6298,203.99,44.63,45.8,4.35,76.3,0,9103.8
2019,11,Fall,Hybrid,East,Philadelphia,39.9526,-75.1652,128.69,24.03,52.76,5.82,72.69,0,3091.83
2021,6,Summer,SUV,Central,Minneapolis,44.9778,-93.265,84.63,36.88,18.14,6.76,63.02,1,3121.33
